# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q0P9C2	uniprotkb:Q9PPJ4	intact:EBI-1329975|uniprotkb:Q0P9C2	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p9c2_camje(display_short)|psi-mi:Predicted 3'-5' exonuclease PolB-like domain-containing protein(display_long)|uniprotkb:Cj1132c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1356302	intact-miscore:0.37|author-based confidence:0.29
uniprotkb:Q0P8F5	uniprotkb:Q9PPJ4	intact:EBI-1194888|uniprotkb:Q0P8F5	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p8f5_camje(display_short)|psi-mi:Ornithine carbamoyltransferase(display_long)|uniprotkb:Cj1460(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357601	intact-miscore:0.37|author-based confidence:0.05
uniprotkb:Q0PB14	uniprotkb:Q9PPJ4	intact:EBI-1194210|uniprotkb:Q0PB14	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0pb14_camje(display_short)|uniprotkb:Cj0499(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357661	intact-miscore:0.37|author-based confidence:0.06
uniprotkb:Q9PPJ4	uniprotkb:Q0P8A8	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1328229|uniprotkb:Q0P8A8	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0p8a8_camje(display_short)|uniprotkb:Cj1510c(locus name)|uniprotkb:fdhB(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357715	intact-miscore:0.37|author-based confidence:0.74
uniprotkb:Q9PPJ4	uniprotkb:Q0P8M9	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1193408|uniprotkb:Q0P8M9	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0p8m9_camje(display_short)|uniprotkb:Cj1380(locus name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357721	intact-miscore:0.37|author-based confidence:0.27
uniprotkb:Q0P9N3	uniprotkb:Q9PPJ4	intact:EBI-1194923|uniprotkb:Q0P9N3	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p9n3_camje(display_short)|uniprotkb:Cj1019c(locus name)|uniprotkb:livJ(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1348235	intact-miscore:0.37|author-based confidence:0.06
uniprotkb:Q0PBD8	uniprotkb:Q9PPJ4	intact:EBI-1326758|uniprotkb:Q0PBD8	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0pbd8_camje(display_short)|uniprotkb:Cj0372(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1348592	intact-miscore:0.37|author-based confidence:0.66
uniprotkb:Q72DU3	uniprotkb:Q72D36	uniprotkb:Q72DU3|intact:EBI-10069213	uniprotkb:Q72D36|intact:EBI-10067699	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:arly_nitv2(display_short)|psi-mi:Argininosuccinate lyase(display_long)|uniprotkb:argH(gene name)|uniprotkb:DVU_1094(locus name)|uniprotkb:Arginosuccinase(gene name synonym)|uniprotkb:DVU1094(locus name)	psi-mi:"MI:0363"(inferred by author)	Shatsky M. et al.(2016)	intact:EBI-10060660|pubmed:unassigned1256	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:1110"(predicted interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10090557	intact-miscore:0.14
uniprotkb:P73183	uniprotkb:P72828	intact:EBI-1607825|uniprotkb:P73183	uniprotkb:P72828|intact:EBI-1610518	psi-mi:hlia_syny3(display_short)|psi-mi:High light-inducible protein HliA(display_long)|uniprotkb:Small Cab-like protein ScpC(gene name synonym)|uniprotkb:scpC(gene name synonym)|uniprotkb:ssl2542(locus name)|uniprotkb:hliA(gene name)	psi-mi:trmd_syny3(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:sll1198(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)	psi-mi:"MI:0018"(two hybrid)	Sato S. et al.(2007)	intact:EBI-1607509|pubmed:18000013	taxid:1111708(syny3)|taxid:1111708("Synechocystis sp. (strain PCC 6803 / Kazusa)")	taxid:1111708(syny3)|taxid:1111708("Synechocystis sp. (strain PCC 6803 / Kazusa)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1610522	intact-miscore:0.37|author-based confidence:C
uniprotkb:O69297	uniprotkb:Q9PPJ4	uniprotkb:Q0PAD2|uniprotkb:Q9PPG1|intact:EBI-1328751|uniprotkb:O69297	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:grpe_camje(display_short)|psi-mi:Protein GrpE(display_long)|uniprotkb:Cj0758(locus name)|uniprotkb:HSP-70 cofactor(gene name synonym)|uniprotkb:grpE(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362371	intact-miscore:0.37|author-based confidence:0.20
uniprotkb:Q0P9N8	uniprotkb:Q9PPJ4	intact:EBI-1191771|uniprotkb:Q0P9N8	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p9n8_camje(display_short)|uniprotkb:Cj1014c(locus name)|uniprotkb:livF(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362401	intact-miscore:0.37|author-based confidence:0.77
uniprotkb:Q0P8X3	uniprotkb:Q9PPJ4	intact:EBI-1194819|uniprotkb:Q0P8X3	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p8x3_camje(display_short)|uniprotkb:Cj1284(locus name)|uniprotkb:ktrA(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362533	intact-miscore:0.37|author-based confidence:0.13
uniprotkb:Q0P8E6	uniprotkb:Q9PPJ4	intact:EBI-1195121|uniprotkb:Q0P8E6	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p8e6_camje(display_short)|uniprotkb:Cj1471c(locus name)|uniprotkb:ctsE(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362578	intact-miscore:0.37|author-based confidence:0.07
