Count;InterProID;pubmeds;Name;ShortDescription
1;IPR006073;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";GTP binding domain;"<p>Several proteins have recently been shown to contain the 5 structural motifs characteristic of GTP-binding proteins [[cite:PUB00000217]]. These include murine DRG protein; GTP1 protein from Schizosaccharomyces pombe; OBG protein from Bacillus subtilis [[cite:PUB00027072]]; ferrous iron transport protein B [[cite:PUB00054426]] and several others.</p>"
1;IPR032305;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";GTP-binding protein, middle domain;<p>This entry represents a domain found in a group of GTP-binding proteins. Proteins containing this domain includes GTPase HflX, which associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis [[cite:PUB00056839]]. This function of this domain is not known.</p>
1;IPR006600;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";HTH CenpB-type DNA-binding domain;"<p>The CENPB-type HTH domain is a DNA-binding, helix-turn-helix (HTH) domain of about 70-75 amino acids, present in eukaryotic centromere proteins and transposases. The domain is named after the mammalian major centromere autoantigen B or centromere protein B (CENP-B), which is a fundamental centromere component of chromosomes. The N terminus of CENP-B contains two DNA-binding HTH domains, which bind to adjacent major grooves of DNA. The N terminus of CENP-B is formed by a psq-type HTH domain and C-terminal to this domain lies the CENPB-type HTH domain. These two HTH domains together bind specifically to a 17-base-pair sequence, the CENP-B box, which occurs in alpha-satellite DNA in human centromeres [[cite:PUB00035346]].</p>

<p>The structure of the CENPB-type HTH domain is composed of three α-helices. The second and third helices connected via a turn comprise the helix-turn-helix motif. Helix 3 is termed the recognition helix as it binds the DNA major groove, like in other HTHs. In CENP-B this domain recognises site 3 of the CENP-B box, while the preceding psq-type HTH binds site 1 of the CENP-B box, and a connecting linker loop binds in the minor groove of DNA and recognises site 2 [[cite:PUB00025705]].</p>

<p>Some proteins known to contain a CENPB-type HTH domain:</p>

<ul>
<li>Mammalian centromere protein B (CENP-B), associated with the centromere and specifically binding DNA to the CENP-B box.</li>
<li>Mammalian jerky protein, involved in epileptic seizures in mice [[cite:PUB00053389]].</li>
<li>Mammalian Pogo transposases [[cite:PUB00053388]] and tigger transposable elements [[cite:PUB00053387]].</li>
<li>Fission yeast ARS-binding protein 1 (abp1) [[cite:PUB00059157]] and CENP-B homologue proteins (CBHP-1 and 2), which are centromere proteins [[cite:PUB00059158], [cite:PUB00059159]].</li>
<li>Candida albicans protein PDC2 (Pyruvate DeCarboxylase 2) [[cite:PUB00053390], [cite:PUB00053391]].</li>
<li>Fungal transposases.</li>
</ul>"
1;IPR007889;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";DNA binding HTH domain, Psq-type;<p>The psq-type HTH domain is a DNA-binding, helix-turn-helix (HTH) domain of about 50 amino acids present in eukaryotic proteins of the Pipsqueak family. This family is named after the Drosophila pipsqueak protein, containing a DNA-binding domain that consists of four tandem repeats of the psq motif [[cite:PUB00010427]]. Proteins of the Pipsqueak family occur in vertebrates, insects, nematodes, and fungi.</p>
1;IPR004875;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";DDE superfamily endonuclease domain;<p>Proteins containing this domain are probably endonucleases of the DDE superfamily. This domain contains three carboxylate residues that are believed to be responsible for coordinating metal ions needed for catalysis. The catalytic activity of this enzyme involves DNA cleavage at a specific site followed by a strand transfer reaction. Proteins containing this domain include tigger transposable element derived proteins from mammals [[cite:PUB00053389]] and protein Pdc2 from budding yeasts [[cite:PUB00077576]]. Interestingly, proteins conatining this domain also includes the Centromere Protein B (CENP-B) protein, which appears to have lost the metal binding residues in this domain and is unlikely to have endonuclease activity. CENP-B is a an inner kinetochore protein that binds to a specific centromere sequence [[cite:PUB00077575]].</p>
1;IPR050863;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Centromere and Transposable Element-Derived Protein;<p>This family of proteins includes members that are involved in centromere and heterochromatin binding, DNA binding, and may play roles in centromere formation, kinetochore assembly, and DNA transposition. Some proteins within this family are known to bind specific DNA sequences, such as the CENP-B box in alphoid satellite DNA, and may organize these sequences into higher-order structures. Others are derived from tigger transposable elements and may retain functions related to transposition. Additionally, certain family members are implicated in biosynthetic pathways, such as the production of chaetoglobosin A, and may perform enzymatic functions like epoxidation, dehydrogenation, and Diels-Alder cyclization. The family also includes proteins that may regulate gene expression, as seen in the control of pyruvate decarboxylase synthesis.</p>
1;IPR052255;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";RNA polymerase II subunit 5-mediating protein;<p>This family of proteins is involved in the regulation of gene transcription and cellular growth signaling pathways. Members act as transcriptional repressors, working with corepressors to regulate transcription factors such as androgen receptors. Some family members are implicated in tumor suppression by inhibiting gene transcription that promotes anchorage-independent growth in cancer cells. They are also essential for cell survival in certain cancer types. These proteins play a role in maintaining signaling pathways that are critical for cell survival under normal conditions, by mediating negative feedback mechanisms that prevent excessive signaling. They can inhibit the activity of specific phosphatases in mitochondria, and are involved in the coordination of nutrient-sensitive gene expression in a manner dependent on the mTOR pathway. Additionally, they have a scaffolding function, capable of assembling a complex with prefoldin and other proteins involved in transcription and ubiquitination processes.</p>
1;IPR009053;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Prefoldin;"<p>The Prefoldin/GimC family of proteins are found in eukaryotes and archaea [[cite:PUB00015158]]. Prefoldin is part of a molecular chaperone system that promotes the correct folding of nascent polypeptide chains. Prefoldin/GimC interacts with the nascent chain to stabilise it prior to its folding within the central cavity of a chaperonin. Prefoldin/GimC is a hexamer consisting of two types of subunits, alpha and beta. Archaeal prefoldin contains one type of alpha and one type of beta subunit [[cite:PUB00013306]], while eukaryotic prefoldin/GimC contains two different but related alpha subunits and four related beta subunits [[cite:PUB00013187]].</p>
<p>The unconventional prefoldin RPB5 interactor-like protein from Drosophila (also known as URI) is a serine/threonine phosphatase inhibitor and required for germ line cell viability and differentiation.  It binds to protein phosphatase 1 alpha subunits with higher affinity than the beta subunits [[cite:PUB00080715]].</p>"
1;IPR004127;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Prefoldin alpha-like;"<p>This entry represents prefoldin subunit alpha-like proteins. Prefoldin (PFD) is a chaperone that interacts exclusively with type II chaperonins, hetero-oligomers lacking an obligate co-chaperonin that are found only in eukaryotes (chaperonin-containing T-complex polypeptide-1 (CCT)) and archaea. Eukaryotic PFD is a multi-subunit complex containing six polypeptides in the molecular mass range of 14-23kDa. In archaea, on the other hand, PFD is composed of two types of subunits, two alpha and four beta. The six subunits associate to form two back-to-back up-and-down eight-stranded barrels, from which hang six coiled coils. Each subunit contributes one (beta subunits) or two (alpha subunits) β hairpin turns to the barrels. The coiled coils are formed by the N and C termini of an individual subunit. Overall, this unique arrangement resembles a jellyfish. The eukaryotic PFD hexamer is composed of six different subunits; however, these can be grouped into two alpha-like (PFD3 and -5) and four beta-like (PFD1, -2, -4, and -6) subunits based on amino acid sequence similarity with their archaeal counterparts. Eukaryotic PFD has a six-legged structure similar to that seen in the archaeal homologue [[cite:PUB00013306], [cite:PUB00013187]]. This family contains the archaeal alpha subunit, eukaryotic prefoldin subunits 3 and 5 and the UXT (ubiquitously expressed transcript) family.</p>

<p>Eukaryotic PFD has been shown to bind both actin and tubulin co-translationally. The chaperone then delivers the target protein to CCT, interacting with the chaperonin through the tips of the coiled coils. No authentic target proteins of any archaeal PFD have been identified, to date.</p>"
1;IPR029071;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Ubiquitin-like domain superfamily;<p>Ubiquitin (Ub) and Ub-like proteins are typified by a β-grasp fold. Ub-like proteins (Ubl) such as Nedd8 [[cite:PUB00069793]] and SUMO [[cite:PUB00053766]] are also covalently linked to target polypeptides, just as Ub itself. This fold is also found in Ub-related domains, such as the UBX domain [[cite:PUB00018088]] and Ras-binding domain (RBD) [[cite:PUB00018368]].</p>
