P08922,Proto-oncogene tyrosine-protein kinase ROS,Homo sapiens,IPR011042|IPR003961|IPR036116|IPR013783|IPR011009|IPR000033|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635|IPR002011,imex:IM-29494|pubmed:35384245
P09936-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L1,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30146|pubmed:37316325
P09936-3,Isoform 3 of Ubiquitin carboxyl-terminal hydrolase isozyme L1,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30146|pubmed:37316325
P0C1Z6,TCF3 fusion partner,Homo sapiens,IPR056513|IPR033555,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-29278|pubmed:19615732|pubmed:33961781
P0CG47,Polyubiquitin-B,Homo sapiens,IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,imex:IM-16517|mint:MINT-5217955|pubmed:15531586|pubmed:16169070
P0DTC3,ORF3a protein,Severe acute respiratory syndrome coronavirus 2,IPR046446|IPR046445|IPR024407,doi:10.1101/2020.06.17.156455|imex:IM-28109|pmc:PPR177217|pubmed:33845483
P0DTC7,ORF7a protein,Severe acute respiratory syndrome coronavirus 2,IPR044390|IPR014888|IPR044871|IPR036495,doi:10.1101/2020.03.31.019216|imex:IM-27901|pmc:PPR138438|pubmed:32838362
P10636-8,Isoform Tau-F of Microtubule-associated protein tau,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-29773|pubmed:35063084
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P13473-2,Isoform LAMP-2B of Lysosome-associated membrane glycoprotein 2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P13569,Cystic fibrosis transmembrane conductance regulator,Homo sapiens,IPR003593|IPR011527|IPR036640|IPR003439|IPR017871|IPR050173|IPR009147|IPR047082|IPR025837|IPR027417,imex:IM-27204|imex:IM-29540|pubmed:29924966|pubmed:36012204
P15884,Transcription factor 4,Homo sapiens,IPR011598|IPR036638|IPR051098,imex:IM-29810|pubmed:37207277
P17706,Tyrosine-protein phosphatase non-receptor type 2,Homo sapiens,IPR051985|IPR029021|IPR000242|IPR012265|IPR016130|IPR003595|IPR000387,imex:IM-12079|pubmed:19615732
P17980,26S proteasome regulatory subunit 6A,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P18431-3,Isoform SGG39 of Protein kinase shaggy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-16527|pubmed:25294943
P18847,Cyclic AMP-dependent transcription factor ATF-3,Homo sapiens,IPR000837|IPR004827|IPR046347,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P19013,Keratin, type II cytoskeletal 4,Homo sapiens,IPR018039|IPR039008|IPR032444|IPR003054,imex:IM-12079|pubmed:19615732
P19474,E3 ubiquitin-protein ligase TRIM21,Homo sapiens,IPR001870|IPR043136|IPR003879|IPR013320|IPR006574|IPR035831|IPR003877|IPR050143|IPR003613|IPR000315|IPR020457|IPR018957|IPR001841|IPR013083|IPR017907,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P20618,Proteasome subunit beta type-1,Homo sapiens,IPR029055|IPR016050|IPR001353|IPR023333,imex:IM-12193|pubmed:19490896
P21580,Tumor necrosis factor alpha-induced protein 3,Homo sapiens,IPR051346|IPR003323|IPR002653,imex:IM-30229|pubmed:30402268
P23508,Colorectal mutant cancer protein,Homo sapiens,IPR040171|IPR019536,pubmed:17353931
P24390,ER lumen protein-retaining receptor 1,Homo sapiens,IPR000133,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P25490,Transcriptional repressor protein YY1,Homo sapiens,IPR017114|IPR036236|IPR013087,doi:10.1016/j.cell.2021.04.011|imex:IM-21659|imex:IM-28767|imex:IM-29278|pubmed:27705803|pubmed:33961781|pubmed:35140242
P25786,Proteasome subunit alpha type-1,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR035144|IPR000426|IPR001353,imex:IM-12193|pubmed:19490896
P25787,Proteasome subunit alpha type-2,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR000426|IPR001353,imex:IM-12193|pubmed:19490896
P25788,Proteasome subunit alpha type-3,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR000426|IPR001353,imex:IM-12193|pubmed:19490896
P25789,Proteasome subunit alpha type-4,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR000426|IPR016050|IPR001353,imex:IM-12193|pubmed:19490896
P26196,Probable ATP-dependent RNA helicase DDX6,Homo sapiens,IPR011545|IPR014001|IPR001650|IPR027417|IPR000629|IPR014014,imex:IM-30059|pubmed:39251607
P28066,Proteasome subunit alpha type-5,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR033812|IPR000426|IPR001353,imex:IM-12193|pubmed:19490896
P28070,Proteasome subunit beta type-4,Homo sapiens,IPR029055|IPR016295|IPR016050|IPR001353|IPR023333,imex:IM-12193|pubmed:19490896
P28072,Proteasome subunit beta type-6,Homo sapiens,IPR029055|IPR000243|IPR016050|IPR001353|IPR023333,imex:IM-12079|pubmed:19615732
P28074,Proteasome subunit beta type-5,Homo sapiens,IPR029055|IPR000243|IPR016050|IPR001353|IPR023333,imex:IM-12079|pubmed:19615732
P29322,Ephrin type-A receptor 8,Homo sapiens,IPR027936|IPR001090|IPR050449|IPR003961|IPR036116|IPR008979|IPR013783|IPR011009|IPR000719|IPR017441|IPR001660|IPR013761|IPR001245|IPR008266|IPR020635|IPR016257|IPR001426,imex:IM-29494|pubmed:35384245
P33416,Heat shock protein 78, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR003593|IPR003959|IPR019489|IPR001270|IPR018368|IPR028299|IPR041546|IPR050130|IPR027417,pubmed:19536198
P35998,26S proteasome regulatory subunit 7,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR048723|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P36507,Dual specificity mitogen-activated protein kinase kinase 2,Homo sapiens,IPR011009|IPR050915|IPR000719|IPR017441|IPR008271,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
P36957,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial,Homo sapiens,IPR003016|IPR050537|IPR001078|IPR000089|IPR023213|IPR011053|IPR006255,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P40337,von Hippel-Lindau disease tumor suppressor,Homo sapiens,IPR024048|IPR037139|IPR024053|IPR037140|IPR036208|IPR022772,pubmed:17353931
P41970,ETS domain-containing protein Elk-3,Homo sapiens,IPR000418|IPR046328|IPR036388|IPR036390,imex:IM-28767|pubmed:35140242
P43686,26S proteasome regulatory subunit 6B,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P46527,Cyclin-dependent kinase inhibitor 1B,Homo sapiens,IPR003175|IPR044898,pubmed:12082530
P48039,Melatonin receptor type 1A,Homo sapiens,IPR000276|IPR017452|IPR002278|IPR000025,imex:IM-24624|pubmed:26514267
P48556,26S proteasome non-ATPase regulatory subunit 8,Homo sapiens,IPR006746|IPR033464|IPR000717,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P49354-3,Isoform 3 of Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30146|pubmed:37316325
P49720,Proteasome subunit beta type-3,Homo sapiens,IPR029055|IPR033811|IPR016050|IPR001353|IPR023333,imex:IM-12079|imex:IM-12193|pubmed:19490896|pubmed:19615732
P49721,Proteasome subunit beta type-2,Homo sapiens,IPR029055|IPR035206|IPR016050|IPR001353|IPR023333,imex:IM-12193|pubmed:19490896
P51665,26S proteasome non-ATPase regulatory subunit 7,Homo sapiens,IPR024969|IPR000555|IPR037518|IPR033858,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P53919,H/ACA ribonucleoprotein complex non-core subunit NAF1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR038664|IPR007504|IPR040309|IPR009000,pubmed:14690591
P54578,Ubiquitin carboxyl-terminal hydrolase 14,Homo sapiens,IPR038765|IPR001394|IPR000626|IPR029071|IPR019954|IPR044635|IPR028889|IPR018200,imex:IM-12079|imex:IM-12193|pubmed:19490896|pubmed:19615732
P54727,Lysine-specific demethylase RAD23B,Homo sapiens,IPR004806|IPR041811|IPR006636|IPR015940|IPR009060|IPR000626|IPR029071|IPR015360|IPR036353,imex:IM-12079|pubmed:19615732
P55036,26S proteasome non-ATPase regulatory subunit 4,Homo sapiens,IPR027040|IPR049590|IPR003903|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P55072,Transitional endoplasmic reticulum ATPase,Homo sapiens,IPR003593|IPR005938|IPR050168|IPR041569|IPR009010|IPR003959|IPR003960|IPR004201|IPR029067|IPR003338|IPR027417,imex:IM-30119|pubmed:37776851
P56537,Eukaryotic translation initiation factor 6,Homo sapiens,IPR002769,pubmed:17353931
P57078,Receptor-interacting serine/threonine-protein kinase 4,Homo sapiens,IPR002110|IPR036770|IPR011009|IPR000719|IPR017441|IPR008271,doi:10.1016/j.molcel.2020.07.001|imex:IM-22750|imex:IM-29257|pubmed:26972000|pubmed:32707033
P60122,RuvB-like 1,Mus musculus,IPR003593|IPR027417|IPR027238|IPR041048|IPR042487|IPR010339,imex:IM-24272|pubmed:26496610
P60842-3,Isoform 3 of Eukaryotic initiation factor 4A-I,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30146|pubmed:37316325
P60900,Proteasome subunit alpha type-6,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR000426|IPR001353|IPR034642,imex:IM-12193|pubmed:19490896
P61086,Ubiquitin-conjugating enzyme E2 K,Homo sapiens,IPR015940|IPR009060|IPR000608|IPR042599|IPR023313|IPR016135,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P61981,14-3-3 protein gamma,Homo sapiens,IPR000308|IPR023409|IPR036815|IPR023410,imex:IM-30059|pubmed:39251607
P62191,26S proteasome regulatory subunit 4,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-24272|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:26496610|pubmed:33961781
P62195,26S proteasome regulatory subunit 8,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P62333,26S proteasome regulatory subunit 10B,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
P62753,Small ribosomal subunit protein eS6,Homo sapiens,IPR001377|IPR014401|IPR018282,imex:IM-26301|pubmed:29568061
P62826,GTP-binding nuclear protein Ran,Homo sapiens,IPR027417|IPR002041|IPR005225|IPR001806,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P63010-2,Isoform 2 of AP-2 complex subunit beta,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P63279,SUMO-conjugating enzyme UBC9,Homo sapiens,IPR050113|IPR000608|IPR023313|IPR016135,pubmed:12082530
P83916,Chromobox protein homolog 1,Homo sapiens,IPR016197|IPR000953|IPR017984|IPR023780|IPR008251|IPR023779|IPR051219,doi:10.1016/j.celrep.2020.108050|imex:IM-16517|imex:IM-28217|mint:MINT-5217955|pubmed:16169070|pubmed:32814053
Q02763,Angiopoietin-1 receptor,Homo sapiens,IPR000742|IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR011009|IPR002049|IPR000719|IPR017441|IPR050122|IPR001245|IPR018941|IPR008266|IPR020635,imex:IM-29494|pubmed:35384245
Q04695,Keratin, type I cytoskeletal 17,Homo sapiens,IPR018039|IPR039008|IPR002957,imex:IM-12079|pubmed:19615732
